P1001,Project_Management_System,Software_Development,Develop_a_terminal_based_project_management_application_in_C,Medium,Created,2026-08-01,2026-09-15,arafatanowar
P1002,Portfolio_Website,Web_Development,Build_a_personal_portfolio_website_with_responsive_design,Low,Planning,2026-08-03,2026-08-25,arafatanowar
P1003,Expense_Tracker,Mobile_App,Create_an_Android_application_to_manage_daily_expenses,High,In_Progress,2026-07-25,2026-09-30,arafatanowar
P1004,AI_Chatbot,Artificial_Intelligence,Develop_an_AI_chatbot_for_customer_support,High,Planning,2026-08-05,2026-10-15,arafatanowar
P1005,Student_Management_System,Database,Design_and_implement_a_database_for_student_records,Medium,Created,2026-08-02,2026-09-20,arafatanowar
P1006,Ecommerce_Website,Web_Development,Develop_an_online_shopping_platform_with_product_management,Low,Planning,2026-08-07,2026-10-30,arafatanowar
P1007,Hospital_Management_System,Software_Development,Build_a_system_for_managing_hospital_records_and_appointments,High,In_Progress,2026-07-20,2026-09-10,arafatanowar
P1008,Weather_Application,Mobile_App,Create_a_mobile_application_to_display_real_time_weather_information,Medium,Planning,2026-08-06,2026-09-28,arafatanowar
P1009,Library_Management_System,Database,Develop_a_database_system_for_managing_library_books_and_users,Low,Created,2026-08-04,2026-10-05,arafatanowar
P1010,Task_Tracker,Productivity,Create_a_task_tracking_application_with_priority_and_deadline_management,High,Completed,2026-07-15,2026-08-20,arafatanowar
